City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Beni Suef,EG,29.0731,31.0979,45.84,82,5,4.94,clear sky
80,Luderitz,NA,-26.6481,15.1594,67.64,75,94,3.38,overcast clouds
81,Steamboat Springs,US,40.485,-106.8317,24.3,66,0,0.0,clear sky
82,Viedma,AR,-40.8135,-62.9967,61.29,68,100,19.6,light rain
83,Tual,ID,-5.6667,132.75,83.8,77,100,16.6,overcast clouds
84,Thompson,CA,55.7435,-97.8558,-33.45,100,11,2.73,few clouds
85,Moses Lake,US,47.1301,-119.2781,39.18,86,0,4.61,mist
86,Bengkulu,ID,-3.8004,102.2655,78.24,79,100,2.84,overcast clouds
87,Tuktoyaktuk,CA,69.4541,-133.0374,-21.77,91,29,13.18,scattered clouds
88,Boffa,GN,10.1667,-14.0333,71.51,76,0,3.13,clear sky
89,Nemuro,JP,43.3236,145.575,26.28,62,38,17.92,scattered clouds
90,Zeya,RU,53.75,127.2667,7.88,49,51,5.59,broken clouds
91,Itaqui,BR,-29.1253,-56.5531,78.04,68,100,9.46,moderate rain
92,Zhuanghe,CN,39.7008,122.9911,24.8,31,0,16.82,clear sky
93,Cherskiy,RU,68.75,161.3,-31.59,97,8,4.18,clear sky
94,Chapais,CA,49.7834,-74.8492,-12.12,98,100,2.98,overcast clouds
95,Port Hardy,CA,50.6996,-127.4199,45.75,93,100,6.91,overcast clouds
96,Panaba,MX,21.2833,-88.2667,71.24,92,52,8.08,broken clouds
97,Cidreira,BR,-30.1811,-50.2056,72.0,93,10,3.83,clear sky
98,Chabahar,IR,25.2919,60.643,71.76,60,0,7.78,clear sky
99,Homer,US,59.6425,-151.5483,31.89,80,100,6.91,overcast clouds
100,Kruisfontein,ZA,-34.0033,24.7314,65.88,79,78,3.62,broken clouds
101,Hofn,IS,64.2539,-15.2082,26.33,66,100,14.74,overcast clouds
102,Kristianstad,SE,56.0313,14.1524,37.54,94,40,13.8,scattered clouds
103,Butaritari,KI,3.0707,172.7902,82.78,78,49,18.68,light rain
104,Arraial Do Cabo,BR,-22.9661,-42.0278,75.49,88,97,21.16,overcast clouds
105,Ilulissat,GL,69.2167,-51.1,10.42,67,75,8.05,light shower snow
106,Jabinyanah,TN,35.035,10.9081,55.6,43,74,4.07,broken clouds
107,Fort Nelson,CA,58.8053,-122.7002,-7.35,96,100,1.68,overcast clouds
108,Riviere-Au-Renard,CA,48.9957,-64.3971,9.97,90,100,13.67,light snow
109,Ushtobe,KZ,45.2514,77.9838,22.59,71,7,7.63,clear sky
110,Mackenzie,CA,55.2999,-123.1698,35.82,87,100,5.75,overcast clouds
111,Ola,RU,59.5833,151.2833,4.66,72,7,10.27,clear sky
112,Cosala,MX,24.4125,-106.6908,58.15,61,0,3.44,clear sky
113,Sinnamary,GF,5.3833,-52.95,75.78,88,85,8.55,overcast clouds
114,San Patricio,US,28.017,-97.5169,39.81,77,6,12.33,clear sky
115,Marienburg,PL,54.0359,19.0266,38.12,93,100,17.2,overcast clouds
116,Santa Ana,US,33.7456,-117.8678,63.01,20,0,3.0,clear sky
117,Leopold,AU,-38.1833,144.4667,80.96,52,7,9.22,clear sky
118,Klaksvik,FO,62.2266,-6.589,34.72,58,98,9.15,overcast clouds
119,Torbay,CA,47.6666,-52.7314,32.76,99,100,4.61,freezing rain
120,Avera,US,33.194,-82.5271,47.71,76,100,16.37,overcast clouds
121,Narsaq,GL,60.9167,-46.05,0.0,49,0,16.26,clear sky
122,Kaura Namoda,NG,12.5898,6.5779,60.8,15,1,14.58,clear sky
123,Lerwick,GB,60.1545,-1.1494,41.0,65,99,24.43,overcast clouds
124,Morondava,MG,-20.2833,44.2833,82.35,62,91,5.19,overcast clouds
125,Novopokrovka,UA,49.8425,36.5477,21.58,98,62,4.5,broken clouds
126,Vao,NC,-22.6667,167.4833,80.33,85,100,7.27,overcast clouds
127,Calatayud,ES,41.3535,-1.6432,50.58,82,100,1.63,overcast clouds
128,Plettenberg Bay,ZA,-34.0527,23.3716,63.77,73,0,6.24,clear sky
129,Muros,ES,42.7762,-9.0603,51.24,74,57,14.79,broken clouds
